Site,Date,ID,Wind.speed,Direction,Temp,Sunshine,Time,Species,Common.name,Caste,Number,Forage plant,ITD,Hive.Distance,Hive.Density,Buildings,Bee.habitat,FloralUnits.Site,Rail,Total.Water,Building.Vol,ITD.error,Pollen,Pollen sample
BG,11/05/2021,20210511_BG_Garden_001,6,SE,22,S,13:40:00,Bombus hortorum,Garden,W,1,Lamium orvala,4.548156551,300,1,21.53,17.83,6024,2.79,6.61,4,3.507587295,Y,Y
Bunhill,24/06/2021,20210624_Bunhill_Tree_001,0,,21,S,10:05:00,Bombus hypnorum,Tree,W,1,Campanula,3.659655582,535,2,45.37,8.43,1754,0.26,0.52,15,10.69258807,N,N
Leon,22/06/2021,20210622_Leon_CC_003,2,E,19,C,14:57:00,Bombus hypnorum,Common carder,W,1,Symphytum ,3.869681299,770,1,39.03,9.84,2450,1.33,0,9,3.677369884,Y,N
BG,23/06/2021,20210623_BG_Early_021,0,,32,S,12:20:00,Bombus lapidarius,Early,M,1,Lavender,3.829004363,300,1,21.53,17.83,6024,2.79,6.61,4,1.672268723,N,N
Bank,23/06/2021,20210623_OPBank_Red_007,6,E,33,S,10:04:00,Bombus lapidarius,Red tail,W,1,Eschscholzia californica,3.251608696,535,2,31.19,19.93,2008,3.35,6.61,10,3.094562366,N,N
Bank,29/06/2021,20210629_Bank_Red_008,4,N,23,C,13:05:00,Bombus lapidarius,Red tail,W,1,Trifolium pratense,4.480004996,535,2,31.19,19.93,2008,3.35,6.61,10,1.343926468,Y,N
Bunhill,24/06/2021,20210624_Bunhill_CC_002,0,,21,S,10:05:00,Bombus pascuorum,Common carder,W,1,Chelidonium majus,3.001208054,535,2,45.37,8.43,1754,0.26,0.52,15,9.835021018,N,N
Leon,22/06/2021,20210622_Leon_CC_024,2,E,19,C,14:57:00,Bombus pascuorum,Common carder,W,1,Ballota nigra,3.144868421,770,1,39.03,9.84,2450,1.33,0,9,4.477175498,Y,N
Bank,29/06/2021,20210629_Bank_CC_009,4,N,23,C,13:05:00,Bombus pascuorum,Common carder,W,1,Achillea millefolium,3.183838899,535,2,31.19,19.93,2008,3.35,6.61,10,4.469525602,Y,N
BG,26/05/2021,20210526_BG_CC_002,2,NE,17,C,11:40:00,Bombus pascuorum,Common carder,W,1,Alkanet,3.293554834,300,1,21.53,17.83,6024,2.79,6.61,4,3.055150561,N,N
MEA,30/06/2021,20210630_MEA_CC_003,3,NW,18,C,13:01:00,Bombus pascuorum,Common carder,W,1,Teucrium fruticans ,3.411196388,850,1,26.97,19.29,2038,1.31,2.17,5,6.555084267,Y,Y
Leon,22/06/2021,20210622_Leon_Tree_021,2,E,19,C,14:57:00,Bombus pascuorum,Tree,W,1,Symphytum ,3.744901138,770,1,39.03,9.84,2450,1.33,0,9,1.699366898,Y,N
BG,26/05/2021,20210526_BG_CC_008,2,NE,17,C,11:40:00,Bombus pascuorum,Common carder,W,1,Symphytum officinale,3.806836582,300,1,21.53,17.83,6024,2.79,6.61,4,1.671718997,Y,Y
Leon,22/06/2021,20210622_Leon_CC_001,2,E,19,C,14:57:00,Bombus pascuorum,Common carder,W,1,Symphytum ,3.921438878,770,1,39.03,9.84,2450,1.33,0,9,6.582231625,N,N
Leon,22/06/2021,20210622_Leon_CC_020,2,E,19,C,14:57:00,Bombus pascuorum,Common carder,W,1,Symphytum ,4.10027611,770,1,39.03,9.84,2450,1.33,0,9,7.094735972,Y,N
BG,26/04/2021,20210426_BG_CC_003,3,NE,17,S,12:10:00,Bombus pascuorum,Common carder,W,1,Camassia,4.190217391,300,1,21.53,17.83,6024,2.79,6.61,4,4.47271897,N,N
Leon,22/06/2021,20210622_Leon_Tree_004,2,E,19,C,14:57:00,Bombus pascuorum,Tree,W,1,Alkanet,4.710378833,770,1,39.03,9.84,2450,1.33,0,9,6.034618831,Y,N
Leon,22/06/2021,20210622_Leon_CC_018,2,E,19,C,14:57:00,Bombus pascuorum,Common carder,W,1,Ballota nigra,4.807069342,770,1,39.03,9.84,2450,1.33,0,9,4.140990658,N,N
Leon,27/05/2021,20210527_Leon_CC_005,4,NE,22,S,10:50:00,Bombus pascuorum,Common carder,W,1,Symphytum officinale,5.030182387,770,1,39.03,9.84,2450,1.33,0,9,3.17146674,N,N
BG,23/06/2021,20210623_BG_CC_006,0,,32,S,12:20:00,Bombus pascuorum,Common carder,W,1,Lavender,5.130760935,300,1,21.53,17.83,6024,2.79,6.61,4,5.238864265,N,N
BG,30/06/2021,20210630_BG_CC_016,4,NW,18,C,10:34:00,Bombus pascuorum,Common carder,W,1,Symphytum,5.254251074,300,1,21.53,17.83,6024,2.79,6.61,4,3.087972103,N,N
