Location,Site,Date,Method,Visit,Wind.speed,Wind.direction,Temp,Sunshine,Time,Species,Species.1,Common.name,Caste,Number,Forage.plant,Pollen,ID,ITD,Hive.Distance,Hive.Density,Buildings,Impervious,Bee.habitat,Floral.Units,Ex.Nests.BeeHabitat,Rail,Total.Water,Building.Vol,ITD.error
East,Bank,26/05/2021,Transect,1,12,NE,22,S,12:55:00,Bombus terrestris,Buff,Buff tail,W,1,Eschscholzia californica,Y,20210526_OPBank_Buff_001,5.353953141,480,1,31.19,37.06,19.93,2008,14,3.35,6.61,10,3.500528361
East,Bank,26/05/2021,Transect,1,12,NE,22,S,12:55:00,Bombus terrestris,Buff,Buff tail,W,1,Eschscholzia californica,Y,20210526_OPBank_Buff_002,5.114190309,480,1,31.19,37.06,19.93,2008,14,3.35,6.61,10,1.177272828
East,Bank,26/05/2021,Transect,1,12,NE,22,S,12:55:00,Bombus terrestris,Buff,Buff tail,W,1,Eschscholzia californica,Y,20210526_OPBank_Buff_003,4.4244667,480,1,31.19,37.06,19.93,2008,14,3.35,6.61,10,5.775580745
East,Bank,26/05/2021,Transect,1,12,NE,22,S,12:55:00,Bombus terrestris,Buff,Buff tail,W,1,Eschscholzia californica,Y,20210526_OPBank_Buff_004,4.726675069,480,1,31.19,37.06,19.93,2008,14,3.35,6.61,10,1.346392747
East,Bank,26/05/2021,Transect,1,12,NE,22,S,12:55:00,Bombus terrestris,Buff,Buff tail,W,1,Eschscholzia californica,Y,20210526_OPBank_Buff_005,4.379786809,480,1,31.19,37.06,19.93,2008,14,3.35,6.61,10,4.236273619
East,Bank,23/06/2021,Transect,2,6,E,33,S,10:04:00,Bombus terrestris,Buff,Buff tail,Q,1,Trifolium pratense,N,20210623_OPBank_Buff_001,8.547334274,480,1,31.19,37.06,19.93,2008,14,3.35,6.61,10,1.609486192
East,Bank,23/06/2021,Transect,2,6,E,33,S,10:04:00,Bombus terrestris,Buff,Buff tail,W,1,Eschscholzia californica,Y,20210623_OPBank_Buff_002,4.40443281,480,1,31.19,37.06,19.93,2008,14,3.35,6.61,10,3.683784369
East,Bank,23/06/2021,Transect,2,6,E,33,S,10:04:00,Bombus terrestris,Buff,Buff tail,W,1,Eschscholzia californica,Y,20210623_OPBank_Buff_003,5.266267226,480,1,31.19,37.06,19.93,2008,14,3.35,6.61,10,2.702151042
East,Bank,23/06/2021,Transect,2,6,E,33,S,10:04:00,Bombus terrestris,Buff,Buff tail,W,1,Eschscholzia californica,Y,20210623_OPBank_Buff_004,5.256396794,480,1,31.19,37.06,19.93,2008,14,3.35,6.61,10,3.52978971
East,Bank,23/06/2021,Transect,2,6,E,33,S,10:04:00,Bombus terrestris,Buff,Buff tail,M,1,Malva sylvestris,N,20210623_OPBank_Buff_005,4.266996424,480,1,31.19,37.06,19.93,2008,14,3.35,6.61,10,3.299774933
