Site,Species,Caste,PlantSpecies,Total.Bee.Visits,TotalNoBeeVisitsperSite,Bee.Visit.Freq.Alpha,FlowerDensity.Beta,FPI,Group,,
Bank,Apis mellifera,W,Malva neglecta,1,72,0.0139,0,0,1,,
Christ,Apis mellifera,W,Choisya,1,380,0.0026,0.4594181,0.01,1,,
Leon,Apis mellifera,W,Nepeta,1,258,0.0039,0.0680249,0.06,1,,
Beech,Apis mellifera,W,Thymus,6,123,0.0488,0.6701762,0.07,1,,
Leon,Apis mellifera,W,Calendula,1,258,0.0039,0.0446243,0.09,1,,
Christ,Apis mellifera,W,Rose,1,380,0.0026,0.0275651,0.1,1,,
Bank,Apis mellifera,W,Leontodon,2,72,0.0278,0.2589126,0.11,1,,
Bank,Apis mellifera,W,Coreopsis,2,72,0.0278,0.1941844,0.14,1,,
Christ,Apis mellifera,W,Persicaria,1,380,0.0026,0.0147779,0.18,1,,
OPMead,Apis mellifera,W,Geranium,1,74,0.0135,0.0697814,0.19,1,,
Leon,Apis mellifera,W,Centranthus ruber,1,258,0.0039,0.0187749,0.21,1,,
Leon,Apis mellifera,W,Rose,9,258,0.0349,0.1088398,0.32,1,,
Leon,Apis mellifera,W,Thymus,1,258,0.0039,0.010884,0.36,1,,
Bunhill,Apis mellifera,W,Campanula,13,63,0.2063,0.5016865,0.41,1,,
Bunhill,Apis mellifera,W,Pyracantha,1,63,0.0159,0.0380066,0.42,1,,
Leon,Apis mellifera,W,Symphytum,10,258,0.0388,0.0759158,0.51,1,,
Bank,Apis mellifera,W,Eschscholzia californica,8,72,0.1111,0.213105,0.52,1,,
OPMead,Apis mellifera,W,Echinacea,3,74,0.0405,0.0782033,0.52,1,,
MEA,Apis mellifera,W,Lavender,72,303,0.2376,0.4416094,0.54,1,,
BG,Apis mellifera,W,Lavender,147,309,0.4757,0.8245255,0.58,1,,
Christ,Apis mellifera,W,Astrantia,2,380,0.0053,0.0085758,0.61,1,,
MEA,Apis mellifera,W,Perovskia,1,303,0.0033,0.0052339,0.63,1,,
Leon,Apis mellifera,W,Centaurea cyanus,15,258,0.0581,0.0870719,0.67,1,,
OPMead,Apis mellifera,W,Calendula,2,74,0.027,0.0375978,0.72,1,,
Bunhill,Apis mellifera,W,Chelidonium majus,2,63,0.0317,0.0385767,0.82,1,,
BG,Apis mellifera,W,Camassia,14,309,0.0453,0.0548669,0.83,1,,
MEA,Apis mellifera,W,Stachys byzantina,18,303,0.0594,0.0710664,0.84,1,,
Bank,Apis mellifera,W,Achillea millefolium,2,72,0.0278,0.0310695,0.89,1,,
Beech,Apis mellifera,W,Nepeta,6,123,0.0488,0.0548366,0.89,1,,
Bunhill,Apis mellifera,W,Choisya,6,63,0.0952,0.1068934,0.89,1,,
Beech,Apis mellifera,W,Geranium,4,123,0.0325,0.0353879,0.92,1,,
OPMead,Apis mellifera,W,Valeriana officinalis,2,74,0.027,0.0294766,0.92,1,,
MEA,Apis mellifera,W,Cordyline,7,303,0.0231,0.0173373,1.33,1,,
BG,Apis mellifera,W,Alkanet,6,309,0.0194,0.0130596,1.49,1,,
Leon,Apis mellifera,W,Alkanet,12,258,0.0465,0.0257134,1.81,1,,
Christ,Apis mellifera,W,Geranium,84,380,0.2211,0.1125574,1.96,1,,
Bunhill,Apis mellifera,W,Geranium,17,63,0.2698,0.1299824,2.08,1,,
